ros_time_s,imu_heading
1762168973.8084,359.8750
1762168974.0099,359.8750
1762168974.2098,359.8750
1762168974.4115,359.8750
1762168974.6115,359.8750
1762168974.8114,359.8750
1762168975.0119,359.8750
1762168975.2113,359.8750
1762168975.4128,359.8750
1762168975.6140,359.8750
1762168975.8152,359.8750
1762168976.0153,359.8750
1762168976.2168,359.8750
1762168976.4189,359.8750
1762168976.6192,359.8750
1762168976.8200,359.8750
1762168977.0208,359.8750
1762168977.2224,359.8750
1762168977.4228,359.8750
1762168977.6240,359.8750
1762168977.8235,359.8750
1762168978.0242,359.8750
1762168978.2241,359.8750
1762168978.4256,359.8750
1762168978.6265,359.8750
1762168978.8272,359.8750
1762168979.0406,359.8750
1762168979.2506,359.8750
1762168979.4623,359.9370
1762168979.6959,0.2500
1762168979.9076,0.5620
1762168980.1085,0.8750
1762168980.3329,1.3120
1762168980.5344,1.6250
1762168980.7468,1.8750
1762168980.9601,2.0630
1762168981.1715,2.1250
1762168981.3853,2.0000
1762168981.5979,1.9370
1762168981.8102,1.9370
1762168982.0224,2.0000
1762168982.2341,2.0000
1762168982.4446,2.0000
1762168982.6568,1.7500
1762168982.8685,2.0000
1762168983.0818,2.0630
1762168983.2939,2.1880
1762168983.5057,2.0630
1762168983.7176,1.8120
1762168983.9294,1.7500
1762168984.1416,1.8120
1762168984.3474,2.1250
1762168984.5596,2.3130
1762168984.7706,2.3750
1762168984.9736,2.3130
1762168985.1993,2.3130
1762168985.4320,2.3130
1762168985.6316,2.3130
1762168985.8536,2.4380
1762168986.0655,2.5630
1762168986.2779,2.5000
1762168986.4907,2.2500
1762168986.7010,2.1250
1762168986.9130,1.8750
1762168987.1304,1.5620
1762168987.3719,1.0620
1762168987.5832,0.5620
1762168987.7970,0.2500
1762168988.0061,0.0000
1762168988.2446,359.8750
1762168988.4450,359.5000
1762168988.6728,359.1870
1762168988.8841,359.0000
1762168989.0962,358.8120
1762168989.2976,358.4370
1762168989.5224,358.0620
1762168989.7356,357.7500
1762168989.9474,357.4370
1762168990.1596,356.9370
1762168990.3707,356.6250
1762168990.5826,356.6250
1762168990.7849,356.6870
1762168990.9838,356.9370
1762168991.2131,357.1870
1762168991.4381,357.5000
1762168991.6723,357.7500
1762168991.8847,357.9370
1762168992.0963,358.1870
1762168992.3084,358.3750
1762168992.5393,358.6250
1762168992.7706,358.8750
1762168992.9722,359.0000
1762168993.2051,359.0000
1762168993.4401,359.0620
1762168993.6423,359.3120
1762168993.8744,359.6250
1762168994.0850,0.1250
1762168994.2873,0.4370
1762168994.4852,0.7500
1762168994.7214,1.1250
1762168994.9332,1.5620
1762168995.1443,1.8750
1762168995.3567,2.0000
1762168995.5557,2.1250
1762168995.7692,2.1250
1762168995.9810,1.8750
1762168996.1949,1.6870
1762168996.4039,1.7500
1762168996.6161,1.8750
1762168996.8284,2.0000
1762168997.0429,2.0000
1762168997.2546,1.7500
1762168997.4651,1.4370
1762168997.6769,1.0620
1762168997.8908,0.8120
1762168998.1013,0.8750
1762168998.3128,1.0620
1762168998.5250,1.1870
1762168998.7389,1.1250
1762168998.9478,1.0620
1762168999.1588,0.8750
1762168999.3713,0.9370
1762168999.5831,1.1870
1762168999.8000,1.3750
1762169000.0345,1.7500
1762169000.2485,1.9370
1762169000.4487,2.3750
1762169000.6490,2.6880
1762169000.8527,2.9380
1762169001.0753,3.1250
1762169001.2871,3.5000
1762169001.4978,3.8130
1762169001.7337,4.3750
1762169001.9466,4.6250
1762169002.1872,5.2500
1762169002.3985,5.5620
1762169002.6095,5.8750
1762169002.8208,6.0620
1762169003.0330,6.3750
1762169003.2464,6.6250
1762169003.4566,6.4370
1762169003.6689,5.8750
1762169003.8712,5.6250
1762169004.0822,5.0620
1762169004.2940,4.5620
1762169004.4934,4.1250
1762169004.7312,3.8750
1762169004.9321,3.7500
1762169005.1442,3.4380
1762169005.3558,3.1880
1762169005.5668,2.9380
1762169005.7705,2.7500
1762169005.9775,2.6250
1762169006.1812,2.3130
1762169006.3819,1.7500
1762169006.5831,1.2500
1762169006.8156,0.8750
1762169007.0280,0.7500
1762169007.2325,0.7500
1762169007.4447,0.6870
1762169007.6669,0.5620
1762169007.8779,0.3120
1762169008.0924,0.0620
1762169008.3023,0.0000
1762169008.5125,0.1870
1762169008.7251,0.1870
1762169008.9584,0.5000
1762169009.1973,0.8120
1762169009.4084,1.1250
1762169009.6218,1.3750
1762169009.8337,1.7500
1762169010.0365,2.0630
1762169010.2442,2.3130
1762169010.4440,2.3750
1762169010.6700,2.5000
1762169010.8808,2.5630
1762169011.0935,2.8130
1762169011.3238,3.1880
1762169011.5465,3.4380
1762169011.7578,3.7500
1762169011.9694,4.0620
1762169012.1829,4.3750
1762169012.3945,4.5000
1762169012.6044,4.6870
1762169012.8167,4.5620
1762169013.0477,4.3120
1762169013.2593,4.3120
1762169013.4713,4.2500
1762169013.6975,4.1250
1762169013.9306,4.0620
1762169014.1445,4.0000
1762169014.3551,3.9380
1762169014.5669,3.6880
1762169014.7776,3.3750
1762169014.9925,3.3130
1762169015.2026,3.1250
1762169015.4131,2.8750
1762169015.6147,2.3130
1762169015.8150,1.5620
1762169016.0225,1.1250
1762169016.2356,0.8120
1762169016.4472,0.7500
1762169016.6484,0.6250
1762169016.8472,0.3750
1762169017.0871,359.8750
1762169017.2997,359.5620
1762169017.5101,359.3120
1762169017.7215,359.0620
1762169017.9322,359.0620
1762169018.1464,359.0000
1762169018.3552,359.1250
1762169018.5671,359.2500
1762169018.7794,359.3750
1762169018.9944,359.3750
1762169019.2052,359.5000
1762169019.4173,359.5000
1762169019.6284,359.8120
1762169019.8411,359.9370
1762169020.0634,0.0000
1762169020.2753,0.0000
1762169020.4879,0.0000
1762169020.6972,0.0620
1762169020.9092,0.1870
1762169021.1221,0.0000
1762169021.3338,359.6870
1762169021.5453,359.7500
1762169021.7569,359.6250
1762169021.9684,359.5000
1762169022.1804,359.3750
1762169022.3925,359.3750
1762169022.6031,359.3750
1762169022.8154,359.5000
1762169023.0269,359.5620
1762169023.2383,359.6250
1762169023.4478,359.5000
1762169023.6600,359.3120
1762169023.8728,359.2500
1762169024.0832,359.1870
1762169024.2942,359.2500
1762169024.5058,359.5000
1762169024.7184,0.0000
1762169024.9291,0.6250
1762169025.1418,1.0000
1762169025.3534,1.2500
1762169025.5668,1.5000
1762169025.7946,1.7500
1762169026.0039,1.8120
1762169026.2174,1.8750
1762169026.4282,2.1250
1762169026.6414,2.3130
1762169026.8524,2.3750
1762169027.0629,2.3750
1762169027.2753,2.3750
1762169027.4890,2.2500
1762169027.6986,1.8750
1762169027.8979,1.3750
1762169028.1096,1.0000
1762169028.3312,0.7500
1762169028.5444,0.3750
1762169028.7548,0.0620
1762169028.9659,359.6870
1762169029.1773,359.3750
1762169029.3882,359.1250
1762169029.5944,358.8750
1762169029.8030,358.5620
1762169030.0046,357.9370
1762169030.2185,357.5620
1762169030.4403,357.3750
1762169030.6398,356.8120
1762169030.8407,356.2500
1762169031.0437,355.6870
1762169031.2479,355.0620
1762169031.4589,354.3120
1762169031.6706,353.8750
1762169031.8821,353.6250
1762169032.0938,353.5000
1762169032.3068,353.6250
1762169032.5193,353.8120
1762169032.7440,354.1250
1762169032.9490,354.4370
1762169033.1508,354.7500
1762169033.3636,355.1250
1762169033.5755,355.5000
1762169033.7782,356.0000
1762169033.9780,356.1870
1762169034.1789,356.5000
1762169034.4118,356.8120
1762169034.6231,357.1870
1762169034.8346,357.4370
1762169035.0455,357.7500
1762169035.2579,358.0620
1762169035.4711,358.1250
1762169035.6945,357.9370
1762169035.9159,357.5000
1762169036.1386,357.2500
1762169036.3395,356.7500
1762169036.5672,356.5000
1762169036.7794,356.3750
1762169036.9936,356.3750
1762169037.2024,356.0620
1762169037.4147,355.7500
1762169037.6268,355.5620
1762169037.8405,355.4370
1762169038.0524,355.2500
1762169038.2630,355.2500
1762169038.4754,355.5000
1762169038.6873,355.7500
1762169038.8967,356.2500
1762169039.1086,356.2500
1762169039.3203,356.2500
1762169039.5339,356.2500
1762169039.7453,356.8750
1762169039.9788,357.6870
1762169040.2136,358.3750
1762169040.4258,358.9370
1762169040.6404,359.4370
1762169040.8492,359.7500
1762169041.0614,359.9370
1762169041.2942,0.3750
1762169041.5234,0.8750
1762169041.7462,1.1870
1762169041.9587,1.3120
1762169042.1893,1.4370
1762169042.3961,1.5620
1762169042.5964,1.6870
1762169042.8074,1.8750
1762169043.0195,1.8750
1762169043.2314,1.9370
1762169043.4433,2.0000
1762169043.6563,1.8750
1762169043.8674,1.9370
1762169044.0804,2.0000
1762169044.2939,1.9370
1762169044.5032,1.8750
1762169044.7164,1.8120
1762169044.9504,1.9370
1762169045.1624,2.2500
1762169045.3650,2.5000
1762169045.5735,2.6250
1762169045.7877,2.6250
1762169045.9992,2.6880
1762169046.2106,2.7500
1762169046.4232,2.6880
1762169046.6343,2.4380
1762169046.8451,2.5000
1762169047.0559,2.8130
1762169047.2952,3.1250
1762169047.5064,3.2500
1762169047.7197,3.2500
1762169047.9307,3.2500
1762169048.1433,3.3130
1762169048.3554,3.2500
1762169048.5675,3.1880
1762169048.7784,2.9380
1762169048.9944,2.5630
1762169049.2023,2.2500
1762169049.4154,1.9370
1762169049.6453,1.5000
1762169049.8574,0.9370
1762169050.0687,0.5000
1762169050.2803,0.1250
1762169050.4935,359.8120
1762169050.6943,359.3750
1762169050.8944,359.0620
1762169051.1172,358.6870
1762169051.3296,358.2500
1762169051.5306,357.6870
1762169051.7683,356.9370
1762169051.9795,356.5000
1762169052.1815,355.9370
1762169052.4164,355.5000
1762169052.6270,355.1250
1762169052.8429,354.7500
1762169053.0509,354.4370
1762169053.2632,354.3750
1762169053.4757,354.0620
1762169053.6902,354.0620
1762169053.9015,354.0620
1762169054.1027,354.3120
1762169054.3387,354.5620
1762169054.5512,354.7500
1762169054.7615,354.8750
1762169054.9736,355.3120
1762169055.1842,355.8120
1762169055.3959,356.1870
1762169055.6341,356.5000
1762169055.8747,356.8120
1762169056.0944,356.9370
1762169056.3069,357.1250
1762169056.5447,357.1870
1762169056.7560,357.2500
1762169056.9684,357.2500
1762169057.1802,357.2500
1762169057.3919,357.1870
1762169057.6052,357.3120
1762169057.8080,356.9370
1762169058.0234,356.6250
1762169058.2429,356.2500
1762169058.4550,356.0000
1762169058.6671,355.6250
1762169058.8781,355.1870
1762169059.0927,354.6870
1762169059.3011,354.2500
1762169059.5126,353.8750
1762169059.7238,353.3750
1762169059.9360,353.0000
1762169060.1475,352.6870
1762169060.3600,352.3750
1762169060.5723,352.1870
1762169060.7840,352.0000
1762169060.9991,352.0620
1762169061.2100,352.2500
1762169061.4222,352.4370
1762169061.6452,352.4370
1762169061.8659,352.5000
1762169062.0779,352.5000
1762169062.2924,352.8750
1762169062.5025,353.3750
1762169062.7148,353.8120
1762169062.9260,354.3120
1762169063.1272,354.6870
1762169063.3639,354.9370
1762169063.5919,355.1870
1762169063.8022,355.3120
1762169064.0116,355.7500
1762169064.2225,356.2500
1762169064.4360,356.6250
1762169064.6373,357.0620
1762169064.8686,357.3120
1762169065.0818,357.5000
1762169065.2819,357.6250
1762169065.4961,357.6870
1762169065.7065,357.9370
1762169065.9179,358.3750
1762169066.1291,358.7500
1762169066.3504,359.0620
1762169066.5618,359.1870
1762169066.7734,359.4370
1762169066.9886,0.0000
1762169067.1976,0.5620
1762169067.4107,1.0000
1762169067.6226,1.5620
1762169067.8335,2.1880
1762169068.0443,2.6880
1762169068.2678,3.3130
1762169068.4793,3.9380
1762169068.6927,4.4370
1762169068.9015,4.8750
1762169069.1129,5.3120
1762169069.3249,5.6250
1762169069.5376,5.9370
1762169069.7492,6.0000
1762169069.9602,5.7500
1762169070.1726,5.5620
1762169070.3834,5.6870
1762169070.5853,5.9370
1762169070.8154,6.0000
1762169071.0278,6.0000
1762169071.2415,6.0620
1762169071.4545,6.0620
1762169071.6628,6.0000
1762169071.8760,5.6250
1762169072.0889,5.5620
1762169072.2976,5.3120
1762169072.5097,5.1870
1762169072.7228,5.1870
1762169072.9333,5.1250
1762169073.1462,5.1870
1762169073.3586,5.4370
1762169073.5697,5.6250
1762169073.7826,5.4370
1762169073.9944,5.1870
1762169074.2068,5.0620
1762169074.4186,4.9370
1762169074.6314,4.9370
1762169074.8443,4.9370
1762169075.0565,5.0000
1762169075.2686,5.1250
1762169075.4806,5.5000
1762169075.6921,5.9370
1762169075.9033,6.3120
1762169076.1145,6.6870
1762169076.3268,7.1250
1762169076.5391,7.6250
1762169076.7394,8.0630
1762169076.9635,8.6250
1762169077.1745,9.1250
1762169077.3868,9.6880
1762169077.6237,10.2500
1762169077.8426,10.6880
1762169078.0512,11.1250
1762169078.2645,11.2500
1762169078.4766,11.3750
1762169078.6891,11.5000
1762169078.9020,11.3750
1762169079.1132,11.3750
1762169079.3253,11.0000
1762169079.5371,10.4380
1762169079.7497,9.7500
1762169079.9613,9.1250
1762169080.1716,8.4380
1762169080.4100,7.4370
1762169080.6113,6.1870
1762169080.8122,5.1250
1762169081.0118,4.1870
1762169081.2122,3.4380
1762169081.4122,2.4380
1762169081.6129,1.5620
1762169081.8301,0.5620
1762169082.0431,359.3750
1762169082.2511,358.7500
1762169082.4624,357.9370
1762169082.6749,357.0620
1762169082.8868,356.1250
1762169083.1082,355.3120
1762169083.3209,354.7500
1762169083.5318,354.1870
1762169083.7447,353.7500
1762169083.9454,353.3120
1762169084.1676,353.1250
1762169084.3786,352.8120
1762169084.5908,352.1870
1762169084.8001,351.6250
1762169085.0116,351.1870
1762169085.2235,351.0620
1762169085.4347,351.0000
1762169085.6448,351.0620
1762169085.8575,351.3120
1762169086.0754,351.6250
1762169086.2887,352.1250
1762169086.4980,352.4370
1762169086.7104,352.8120
1762169086.9430,353.1250
1762169087.1480,353.5620
1762169087.3596,353.9370
1762169087.5700,354.9370
1762169087.7817,356.0000
1762169087.9938,356.3120
1762169088.2050,356.8120
1762169088.4170,357.6250
1762169088.6286,358.3750
1762169088.8423,358.9370
1762169089.0541,359.0000
1762169089.2659,359.0000
1762169089.4958,359.1250
1762169089.7070,359.2500
1762169089.9191,359.3120
1762169090.1308,359.5000
1762169090.3451,359.7500
1762169090.5551,0.0620
1762169090.7674,0.1250
1762169090.9795,0.3120
1762169091.1948,0.5000
1762169091.4041,0.5000
1762169091.6152,0.9370
1762169091.8266,1.3750
1762169092.0419,1.6870
1762169092.2521,1.9370
1762169092.4907,2.1250
1762169092.7005,2.1250
1762169092.9255,2.2500
1762169093.1378,2.4380
1762169093.3498,2.5000
1762169093.5621,2.6880
1762169093.7737,2.7500
1762169093.9858,2.7500
1762169094.1985,2.6250
1762169094.4117,2.5000
1762169094.6237,2.2500
1762169094.8358,1.9370
1762169095.0492,1.8750
1762169095.2593,1.8120
1762169095.4726,1.5000
1762169095.6846,1.1870
1762169095.8876,0.5000
1762169096.1169,359.8750
1762169096.3380,359.5000
1762169096.5491,358.9370
1762169096.7605,358.3750
1762169096.9947,357.7500
1762169097.1997,357.2500
1762169097.4226,356.8750
1762169097.6451,356.6870
1762169097.8509,356.6250
1762169098.0618,356.5620
1762169098.2735,356.3750
1762169098.4869,356.3750
1762169098.6998,356.3750
1762169098.9083,356.7500
1762169099.1205,357.1250
1762169099.3314,357.5000
1762169099.5440,358.0620
1762169099.7534,358.6250
1762169099.9656,359.2500
1762169100.1778,359.7500
1762169100.3898,359.8120
1762169100.6016,359.8120
1762169100.8130,359.8120
1762169101.0254,359.9370
1762169101.2372,0.1870
1762169101.4485,0.4370
1762169101.6506,0.7500
1762169101.8762,1.0000
1762169102.0897,1.1870
1762169102.3003,1.1870
1762169102.5123,1.2500
1762169102.7133,1.5620
1762169102.9484,1.9370
1762169103.1604,2.3130
1762169103.3713,2.6250
1762169103.5846,2.9380
1762169103.7961,3.2500
1762169104.0075,3.6880
1762169104.2184,4.0000
1762169104.4304,4.0620
1762169104.6428,4.0620
1762169104.8419,4.1870
1762169105.0431,4.2500
1762169105.2428,4.3750
1762169105.4441,4.4370
1762169105.6437,4.4370
1762169105.8422,4.3120
1762169106.0427,3.8130
1762169106.2450,3.2500
1762169106.4450,3.5000
1762169106.6456,3.5630
1762169106.8469,3.6880
1762169107.0473,3.5630
1762169107.2484,3.4380
1762169107.4492,3.3130
1762169107.6499,2.8750
1762169107.8504,2.1880
1762169108.0514,1.3750
1762169108.2517,359.2500
1762169108.4518,352.6250
1762169108.6524,344.3120
1762169108.8527,339.9370
1762169109.0525,339.2500
1762169109.2534,339.1250
1762169109.4541,339.3750
1762169109.6548,339.2500
1762169109.8552,339.0620
1762169110.0556,338.0620
1762169110.2566,337.6870
1762169110.4555,338.1870
1762169110.6555,338.5000
1762169110.8564,338.3120
1762169111.0563,338.1250
1762169111.2563,337.8750
1762169111.4567,337.9370
1762169111.6575,338.0000
1762169111.8569,337.9370
1762169112.0572,337.8120
1762169112.2566,337.9370
1762169112.4574,338.0620
1762169112.6565,337.8750
1762169112.8572,337.8750
1762169113.0565,337.5620
1762169113.2567,337.3750
1762169113.4575,337.7500
1762169113.6596,338.1250
1762169113.8597,338.1250
1762169114.0600,337.2500
1762169114.2617,336.5620
1762169114.4622,336.3750
1762169114.6618,336.5000
1762169114.8625,336.3750
1762169115.0632,336.0000
1762169115.2632,335.5620
1762169115.4634,334.5000
1762169115.6636,334.0620
1762169115.8639,333.6250
1762169116.0641,333.2500
1762169116.2648,332.9370
1762169116.4654,332.5620
